ICAReducer Reduction and Clustering
----------------------------------------
Initialization complete
Iteration 12, inertia 339.825
Iteration 13, inertia 339.691
Iteration 14, inertia 339.563
Iteration 15, inertia 339.487
Iteration 16, inertia 339.439
Iteration 17, inertia 339.397
Iteration 18, inertia 339.376
Iteration 19, inertia 339.358
Iteration 20, inertia 339.354
Converged at iteration 20
Post-Reduction   0.39s    339   0.731   0.741   0.736   0.673   0.729    0.224
